UniProt,GeneName,Group,FullName
Q9NRF2,SH2B1,Non-kinase,Sh2b adaptor protein 1
O14492,SH2B2,Non-kinase,Sh2b adaptor protein 2
Q9UQQ2,SH2B3,Non-kinase,Sh2b adaptor protein 3
Q9NP31,SH2D2A,Non-kinase,Sh2 domain containing 2a
Q9H788,SH2D4A,Non-kinase,Sh2 domain containing 4a
P78314,SH3BP2,Non-kinase,Sh3 domain binding protein 2
Q9P0V3,SH3BP4,Non-kinase,Sh3 domain binding protein 4
O60239,SH3BP5,Non-kinase,Sh3 domain binding protein 5
Q99961,SH3GL1,Non-kinase,"Sh3 domain containing grb2 like 1, endophilin a2"
Q99962,SH3GL2,Non-kinase,"Sh3 domain containing grb2 like 2, endophilin a1"
Q9Y371,SH3GLB1,Non-kinase,"Sh3 domain containing grb2 like, endophilin b1"
A1X283,SH3PXD2B,Non-kinase,Sh3 and px domains 2b
Q7Z6J0,SH3RF1,Non-kinase,Sh3 domain containing ring finger 1
Q9H0F6,SHARPIN,Non-kinase,Shank associated rh domain interactor
P29353,SHC1,Non-kinase,Shc adaptor protein 1
Q92529,SHC3,Non-kinase,Shc adaptor protein 3
Q6S5L8,SHC4,Non-kinase,Shc adaptor protein 4
Q8NEM2,SHCBP1,Non-kinase,Shc binding and spindle associated 1
Q9UQ13,SHOC2,Non-kinase,Shoc2 leucine rich repeat scaffold protein
O15266,SHOX,Non-kinase,Shox homeobox
P14410,SI,Non-kinase,Sucrase-isomaltase
Q8IUQ4,SIAH1,Non-kinase,Siah e3 ubiquitin protein ligase 1
O43255,SIAH2,Non-kinase,Siah e3 ubiquitin protein ligase 2
Q6IA17,SIGIRR,Non-kinase,Single ig and tir domain containing
Q96LC7,SIGLEC10,Non-kinase,Sialic acid binding ig like lectin 10
P57059,SIK1,CAMK,Salt inducible kinase 1
Q9H0K1,SIK2,CAMK,Salt inducible kinase 2
Q9Y2K2,SIK3,CAMK,Sik family kinase 3
Q9BRV8,SIKE1,Non-kinase,Suppressor of ikbke 1
Q14190,SIM2,Non-kinase,Sim bhlh transcription factor 2
Q96ST3,SIN3A,Non-kinase,Sin3 transcription regulator family member a
P78324,SIRPA,Non-kinase,Signal regulatory protein alpha
Q96EB6,SIRT1,Non-kinase,Sirtuin 1
Q8IXJ6,SIRT2,Non-kinase,Sirtuin 2
Q9NTG7,SIRT3,Non-kinase,Sirtuin 3
Q8N6T7,SIRT6,Non-kinase,Sirtuin 6
Q9NRC8,SIRT7,Non-kinase,Sirtuin 7
O15304,SIVA1,Non-kinase,Siva1 apoptosis inducing factor
Q8IX90,SKA3,Non-kinase,Spindle and kinetochore associated complex subunit 3
Q86WV1,SKAP1,Non-kinase,Src kinase associated phosphoprotein 1
P12755,SKI,Non-kinase,Ski proto-oncogene
Q13309,SKP2,Non-kinase,S-phase kinase associated protein 2
Q13239,SLA,Non-kinase,Src like adaptor
Q9P270,SLAIN2,Non-kinase,Slain motif family member 2
Q13291,SLAMF1,Non-kinase,Signaling lymphocytic activation molecule family member 1
Q14493,SLBP,Non-kinase,Stem-loop histone mrna binding protein
P43003,SLC1A3,Non-kinase,Solute carrier family 1 member 3
P11166,SLC2A1,Non-kinase,Solute carrier family 2 member 1
P11168,SLC2A2,Non-kinase,Solute carrier family 2 member 2
P14672,SLC2A4,Non-kinase,Solute carrier family 2 member 4
P08195,SLC3A2,Non-kinase,Solute carrier family 3 member 2
P02730,SLC4A1,Non-kinase,Solute carrier family 4 member 1 (diego blood group)
P48751,SLC4A3,Non-kinase,Solute carrier family 4 member 3
Q9Y6R1,SLC4A4,Non-kinase,Solute carrier family 4 member 4
P23975,SLC6A2,Non-kinase,Solute carrier family 6 member 2
Q01959,SLC6A3,Non-kinase,Solute carrier family 6 member 3
P31645,SLC6A4,Non-kinase,Solute carrier family 6 member 4
P48067,SLC6A9,Non-kinase,Solute carrier family 6 member 9
Q9UPY5,SLC7A11,Non-kinase,Solute carrier family 7 member 11
Q6J4K2,SLC8B1,Non-kinase,Solute carrier family 8 member b1
P19634,SLC9A1,Non-kinase,Solute carrier family 9 member a1
P48764,SLC9A3,Non-kinase,Solute carrier family 9 member a3
Q14940,SLC9A5,Non-kinase,Solute carrier family 9 member a5
P49279,SLC11A1,Non-kinase,Solute carrier family 11 member 1
Q13621,SLC12A1,Non-kinase,Solute carrier family 12 member 1
P55011,SLC12A2,Non-kinase,Solute carrier family 12 member 2
P55017,SLC12A3,Non-kinase,Solute carrier family 12 member 3
Q9UP95,SLC12A4,Non-kinase,Solute carrier family 12 member 4
Q9H2X9,SLC12A5,Non-kinase,Solute carrier family 12 member 5
Q9UHW9,SLC12A6,Non-kinase,Solute carrier family 12 member 6
Q9Y666,SLC12A7,Non-kinase,Solute carrier family 12 member 7
Q05940,SLC18A2,Non-kinase,Solute carrier family 18 member a2
P12235,SLC25A4,Non-kinase,Solute carrier family 25 member 4
P05141,SLC25A5,Non-kinase,Solute carrier family 25 member 5
O43511,SLC26A4,Non-kinase,Solute carrier family 26 member 4
Q99808,SLC29A1,Non-kinase,Solute carrier family 29 member 1 (augustine blood group)
Q9Y6L6,SLCO1B1,Non-kinase,Solute carrier organic anion transporter family member 1b1
Q96PX8,SLITRK1,Non-kinase,Slit and ntrk like family member 1
Q9H2G2,SLK,STE,Ste20 like kinase
O00631,SLN,Non-kinase,Sarcolipin
Q9NWH9,SLTM,Non-kinase,Safb like transcription modulator
Q8IY92,SLX4,Non-kinase,Slx4 structure-specific endonuclease subunit
Q15797,SMAD1,Non-kinase,Smad family member 1
Q15796,SMAD2,Non-kinase,Smad family member 2
P84022,SMAD3,Non-kinase,Smad family member 3
Q13485,SMAD4,Non-kinase,Smad family member 4
O43541,SMAD6,Non-kinase,Smad family member 6
O15198,SMAD9,Non-kinase,Smad family member 9
P51532,SMARCA4,Non-kinase,"Swi/snf related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
Q9NZC9,SMARCAL1,Non-kinase,"Swi/snf related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"
Q8TAQ2,SMARCC2,Non-kinase,"Swi/snf related, matrix associated, actin dependent regulator of chromatin subfamily c member 2"
Q6STE5,SMARCD3,Non-kinase,"Swi/snf related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3"
Q14683,SMC1A,Non-kinase,Structural maintenance of chromosomes 1a
Q9UQE7,SMC3,Non-kinase,Structural maintenance of chromosomes 3
Q8TEV9,SMCR8,Non-kinase,Smcr8-c9orf72 complex subunit
Q96Q15,SMG1,Atypical,Smg1 nonsense mediated mrna decay associated pi3k related kinase
Q16637,SMN1,Non-kinase,"Survival of motor neuron 1, telomeric"
Q16637,SMN2,Non-kinase,"Survival of motor neuron 2, centromeric"
P17405,SMPD1,Non-kinase,Sphingomyelin phosphodiesterase 1
Q9NY59,SMPD3,Non-kinase,Sphingomyelin phosphodiesterase 3
P53814,SMTN,Non-kinase,Smoothelin
Q9HAU4,SMURF2,Non-kinase,Smad specific e3 ubiquitin protein ligase 2
O95863,SNAI1,Non-kinase,Snail family transcriptional repressor 1
O43623,SNAI2,Non-kinase,Snail family transcriptional repressor 2
O00161,SNAP23,Non-kinase,Synaptosome associated protein 23
P60880,SNAP25,Non-kinase,Synaptosome associated protein 25
O95721,SNAP29,Non-kinase,Synaptosome associated protein 29
O95295,SNAPIN,Non-kinase,Snap associated protein
P37840,SNCA,Non-kinase,Synuclein alpha
Q9Y6H5,SNCAIP,Non-kinase,Synuclein alpha interacting protein
Q16143,SNCB,Non-kinase,Synuclein beta
O76070,SNCG,Non-kinase,Synuclein gamma
Q7KZF4,SND1,Non-kinase,Staphylococcal nuclease and tudor domain containing 1
O15079,SNPH,Non-kinase,Syntaphilin
Q9NRH2,SNRK,CAMK,Snf related kinase
P08621,SNRNP70,Non-kinase,Small nuclear ribonucleoprotein u1 subunit 70
Q13424,SNTA1,Non-kinase,Syntrophin alpha 1
Q13573,SNW1,Non-kinase,Snw domain containing 1
Q9Y5X2,SNX8,Non-kinase,Sorting nexin 8
Q15036,SNX17,Non-kinase,Sorting nexin 17
Q96L92,SNX27,Non-kinase,Sorting nexin 27
O15524,SOCS1,Non-kinase,Suppressor of cytokine signaling 1
O14543,SOCS3,Non-kinase,Suppressor of cytokine signaling 3
P00441,SOD1,Non-kinase,Superoxide dismutase 1
P04179,SOD2,Non-kinase,Superoxide dismutase 2
O94875,SORBS2,Non-kinase,Sorbin and sh3 domain containing 2
O60504,SORBS3,Non-kinase,Sorbin and sh3 domain containing 3
Q92673,SORL1,Non-kinase,Sortilin related receptor 1
Q99523,SORT1,Non-kinase,Sortilin 1
Q07889,SOS1,Non-kinase,Sos ras/rac guanine nucleotide exchange factor 1
P48431,SOX2,Non-kinase,Sry-box transcription factor 2
P57073,SOX8,Non-kinase,Sry-box transcription factor 8
P48436,SOX9,Non-kinase,Sry-box transcription factor 9
P08047,SP1,Non-kinase,Sp1 transcription factor
Q02447,SP3,Non-kinase,Sp3 transcription factor
Q07617,SPAG1,Non-kinase,Sperm associated antigen 1
Q96R06,SPAG5,Non-kinase,Sperm associated antigen 5
O60271,SPAG9,Non-kinase,Sperm associated antigen 9
Q9UBP0,SPAST,Non-kinase,Spastin
O95238,SPDEF,Non-kinase,Sam pointed domain containing ets transcription factor
Q96EA4,SPDL1,Non-kinase,Spindle apparatus coiled-coil protein 1
Q96T58,SPEN,Non-kinase,Spen family transcriptional repressor
Q9NYA1,SPHK1,Non-kinase,Sphingosine kinase 1
Q9NRA0,SPHK2,Non-kinase,Sphingosine kinase 2
P17947,SPI1,Non-kinase,Spi-1 proto-oncogene
Q01892,SPIB,Non-kinase,Spi-b transcription factor
Q8N5J4,SPIC,Non-kinase,Spi-c transcription factor
Q9Y657,SPIN1,Non-kinase,Spindlin 1
P16150,SPN,Non-kinase,Sialophorin
O43791,SPOP,Non-kinase,Speckle type btb/poz protein
P10451,SPP1,Non-kinase,Secreted phosphoprotein 1
P35270,SPR,Non-kinase,Sepiapterin reductase
Q7Z699,SPRED1,Non-kinase,Sprouty related evh1 domain containing 1
O43597,SPRY2,Non-kinase,Sprouty rtk signaling antagonist 2
Q13813,SPTAN1,Non-kinase,"Spectrin alpha, non-erythrocytic 1"
Q01082,SPTBN1,Non-kinase,"Spectrin beta, non-erythrocytic 1"
Q9H254,SPTBN4,Non-kinase,"Spectrin beta, non-erythrocytic 4"
O15269,SPTLC1,Non-kinase,Serine palmitoyltransferase long chain base subunit 1
Q13501,SQSTM1,Non-kinase,Sequestosome 1
P12931,SRC,TK,"Src proto-oncogene, non-receptor tyrosine kinase"
Q9C0H9,SRCIN1,Non-kinase,Src kinase signaling inhibitor 1
P36956,SREBF1,Non-kinase,Sterol regulatory element binding transcription factor 1
Q12772,SREBF2,Non-kinase,Sterol regulatory element binding transcription factor 2
P11831,SRF,Non-kinase,Serum response factor
P30626,SRI,Non-kinase,Sorcin
Q9H3Y6,SRMS,TK,Src-related kinase lacking c-terminal regulatory tyrosine and n-terminal myristylation sites
Q96SB4,SRPK1,CMGC,Srsf protein kinase 1
P78362,SRPK2,CMGC,Srsf protein kinase 2
Q8IYB3,SRRM1,Non-kinase,Serine and arginine repetitive matrix 1
Q9UQ35,SRRM2,Non-kinase,Serine/arginine repetitive matrix 2
Q9BXP5,SRRT,Non-kinase,"Serrate, rna effector molecule"
Q07955,SRSF1,Non-kinase,Serine and arginine rich splicing factor 1
Q01130,SRSF2,Non-kinase,Serine and arginine rich splicing factor 2
P84103,SRSF3,Non-kinase,Serine and arginine rich splicing factor 3
Q13242,SRSF9,Non-kinase,Serine and arginine rich splicing factor 9
Q05519,SRSF11,Non-kinase,Serine and arginine rich splicing factor 11
P05455,SSB,Non-kinase,Small rna binding exonuclease protection factor la
Q04837,SSBP1,Non-kinase,Single stranded dna binding protein 1
Q9BWW4,SSBP3,Non-kinase,Single stranded dna binding protein 3
Q8WYL5,SSH1,Non-kinase,Slingshot protein phosphatase 1
Q8TE77,SSH3,Non-kinase,Slingshot protein phosphatase 3
P43307,SSR1,Non-kinase,Signal sequence receptor subunit 1
Q08945,SSRP1,Non-kinase,Structure specific recognition protein 1
P30874,SSTR2,Non-kinase,Somatostatin receptor 2
P35346,SSTR5,Non-kinase,Somatostatin receptor 5
Q9NP77,SSU72,Non-kinase,"Ssu72 homolog, rna polymerase ii ctd phosphatase"
P50502,ST13,Non-kinase,St13 hsp70 interacting protein
O75886,STAM2,Non-kinase,Signal transducing adaptor molecule 2
O95630,STAMBP,Non-kinase,Stam binding protein
Q9UGK3,STAP2,Non-kinase,Signal transducing adaptor family member 2
P49675,STAR,Non-kinase,Steroidogenic acute regulatory protein
Q9Y365,STARD10,Non-kinase,Star related lipid transfer domain containing 10
P42224,STAT1,Non-kinase,Signal transducer and activator of transcription 1
P52630,STAT2,Non-kinase,Signal transducer and activator of transcription 2
P40763,STAT3,Non-kinase,Signal transducer and activator of transcription 3
Q14765,STAT4,Non-kinase,Signal transducer and activator of transcription 4
P42229,STAT5A,Non-kinase,Signal transducer and activator of transcription 5a
P51692,STAT5B,Non-kinase,Signal transducer and activator of transcription 5b
P42226,STAT6,Non-kinase,Signal transducer and activator of transcription 6
O95210,STBD1,Non-kinase,Starch binding domain 1
O76061,STC2,Non-kinase,Stanniocalcin 2
Q15468,STIL,Non-kinase,Stil centriolar assembly protein
Q13586,STIM1,Non-kinase,Stromal interaction molecule 1
Q86WV6,STING1,Non-kinase,Stimulator of interferon response cgamp interactor 1
Q13188,STK3,STE,Serine/threonine kinase 3
Q13043,STK4,STE,Serine/threonine kinase 4
O94804,STK10,STE,Serine/threonine kinase 10
Q15831,STK11,CAMK,Serine/threonine kinase 11
Q8N1F8,STK11IP,Non-kinase,Serine/threonine kinase 11 interacting protein
O75716,STK16,Other,Serine/threonine kinase 16
Q9UEE5,STK17A,CAMK,Serine/threonine kinase 17a
P49842,STK19,Atypical,Serine/threonine kinase 19
Q9Y6E0,STK24,STE,Serine/threonine kinase 24
O00506,STK25,STE,Serine/threonine kinase 25
Q9P289,STK26,STE,Serine/threonine kinase 26
Q9BYT3,STK33,CAMK,Serine/threonine kinase 33
Q15208,STK38,AGC,Serine/threonine kinase 38
Q9Y2H1,STK38L,AGC,Serine/threonine kinase 38 like
Q9UEW8,STK39,STE,Serine/threonine kinase 39
P16949,STMN1,Non-kinase,Stathmin 1
Q93045,STMN2,Non-kinase,Stathmin 2
Q9NZ72,STMN3,Non-kinase,Stathmin 3
Q9UJZ1,STOML2,Non-kinase,Stomatin like 2
Q7RTN6,STRADA,STE,Ste20 related adaptor alpha
Q9Y3F4,STRAP,Non-kinase,Serine/threonine kinase receptor associated protein
Q16623,STX1A,Non-kinase,Syntaxin 1a
P56962,STX17,Non-kinase,Syntaxin 17
P61764,STXBP1,Non-kinase,Syntaxin binding protein 1
Q15833,STXBP2,Non-kinase,Syntaxin binding protein 2
Q6J9G0,STYK1,TK,Serine/threonine/tyrosine kinase 1
P53999,SUB1,Non-kinase,Sub1 regulator of transcription
Q9P2R7,SUCLA2,Non-kinase,Succinate-coa ligase adp-forming subunit beta
Q9H7L9,SUDS3,Non-kinase,"Sds3 homolog, sin3a corepressor complex component"
Q9UMX1,SUFU,Non-kinase,Sufu negative regulator of hedgehog signaling
Q8IX01,SUGP2,Non-kinase,Surp and g-patch domain containing 2
Q9Y2Z0,SUGT1,Non-kinase,"Sgt1 homolog, mis12 kinetochore complex assembly cochaperone"
Q9BR01,SULT4A1,Non-kinase,Sulfotransferase family 4a member 1
O94901,SUN1,Non-kinase,Sad1 and unc84 domain containing 1
Q9UH99,SUN2,Non-kinase,Sad1 and unc84 domain containing 2
O00267,SUPT5H,Non-kinase,"Spt5 homolog, dsif elongation factor subunit"
Q7KZ85,SUPT6H,Non-kinase,"Spt6 homolog, histone chaperone and transcription elongation factor"
Q9Y5B9,SUPT16H,Non-kinase,"Spt16 homolog, facilitates chromatin remodeling subunit"
O43463,SUV39H1,Non-kinase,Suv39h1 histone lysine methyltransferase
Q15022,SUZ12,Non-kinase,Suz12 polycomb repressive complex 2 subunit
Q7L0J3,SV2A,Non-kinase,Synaptic vesicle glycoprotein 2a
O95425,SVIL,Non-kinase,Supervillin
P43405,SYK,TK,Spleen associated tyrosine kinase
Q92797,SYMPK,Non-kinase,Symplekin scaffold protein
P17600,SYN1,Non-kinase,Synapsin i
Q92777,SYN2,Non-kinase,Synapsin ii
O14994,SYN3,Non-kinase,Synapsin iii
O60506,SYNCRIP,Non-kinase,Synaptotagmin binding cytoplasmic rna interacting protein
Q96PV0,SYNGAP1,Non-kinase,Synaptic ras gtpase activating protein 1
O15056,SYNJ2,Non-kinase,Synaptojanin 2
Q9H2B2,SYT4,Non-kinase,Synaptotagmin 4
Q8IYJ3,SYTL1,Non-kinase,Synaptotagmin like 1
Q15750,TAB1,Non-kinase,Tgf-beta activated kinase 1 (map3k7) binding protein 1
Q8N5C8,TAB3,Non-kinase,Tgf-beta activated kinase 1 (map3k7) binding protein 3
O75410,TACC1,Non-kinase,Transforming acidic coiled-coil containing protein 1
Q9Y6A5,TACC3,Non-kinase,Transforming acidic coiled-coil containing protein 3
P09758,TACSTD2,Non-kinase,Tumor associated calcium signal transducer 2
P21675,TAF1,Atypical,Tata-box binding protein associated factor 1
Q15545,TAF7,Non-kinase,Tata-box binding protein associated factor 7
Q8N103,TAGAP,Non-kinase,T cell activation rhogtpase activating protein
Q01995,TAGLN,Non-kinase,Transgelin
P37802,TAGLN2,Non-kinase,Transgelin 2
P17542,TAL1,Non-kinase,"Tal bhlh transcription factor 1, erythroid differentiation factor"
Q16559,TAL2,Non-kinase,Tal bhlh transcription factor 2
Q9C0D5,TANC1,Non-kinase,"Tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1"
Q7L7X3,TAOK1,STE,Tao kinase 1
Q9UL54,TAOK2,STE,Tao kinase 2
Q9H2K8,TAOK3,STE,Tao kinase 3
Q15633,TARBP2,Non-kinase,Tarbp2 subunit of risc loading complex
Q13148,TARDBP,Non-kinase,Tar dna binding protein
Q86VP1,TAX1BP1,Non-kinase,Tax1 binding protein 1
Q86TI0,TBC1D1,Non-kinase,Tbc1 domain family member 1
O60343,TBC1D4,Non-kinase,Tbc1 domain family member 4
Q9P0N9,TBC1D7,Non-kinase,Tbc1 domain family member 7
Q99426,TBCB,Non-kinase,Tubulin folding cofactor b
Q15813,TBCE,Non-kinase,Tubulin folding cofactor e
Q9UHD2,TBK1,Other,Tank binding kinase 1
Q9BZK7,TBL1XR1,Non-kinase,Tbl1x/y related 1
Q9Y4P3,TBL2,Non-kinase,Transducin beta like 2
O15119,TBX3,Non-kinase,T-box transcription factor 3
Q9UL17,TBX21,Non-kinase,T-box transcription factor 21
P21731,TBXA2R,Non-kinase,Thromboxane a2 receptor
O15273,TCAP,Non-kinase,Titin-cap
P15923,TCF3,Non-kinase,Transcription factor 3
Q9NQB0,TCF7L2,Non-kinase,Transcription factor 7 like 2
Q13428,TCOF1,Non-kinase,Treacle ribosome biogenesis factor 1
Q9NUW8,TDP1,Non-kinase,Tyrosyl-dna phosphodiesterase 1
O95551,TDP2,Non-kinase,Tyrosyl-dna phosphodiesterase 2
P42680,TEC,TK,Tec protein tyrosine kinase
Q02763,TEK,TK,Tek receptor tyrosine kinase
Q9Y4R8,TELO2,Non-kinase,Telomere maintenance 2
Q6PIY7,TENT2,Non-kinase,Terminal nucleotidyltransferase 2
P54274,TERF1,Non-kinase,Telomeric repeat binding factor 1
Q15554,TERF2,Non-kinase,Telomeric repeat binding factor 2
Q9NYB0,TERF2IP,Non-kinase,Terf2 interacting protein
O14746,TERT,Non-kinase,Telomerase reverse transcriptase
Q15569,TESK1,TKL,Testis associated actin remodelling kinase 1
Q96S53,TESK2,TKL,Testis associated actin remodelling kinase 2
Q6N021,TET2,Non-kinase,Tet methylcytosine dioxygenase 2
Q8IWB6,TEX14,Other,"Testis expressed 14, intercellular bridge forming factor"
Q00059,TFAM,Non-kinase,"Transcription factor a, mitochondrial"
P05549,TFAP2A,Non-kinase,Transcription factor ap-2 alpha
Q12800,TFCP2,Non-kinase,Transcription factor cp2
Q9NZI6,TFCP2L1,Non-kinase,Transcription factor cp2 like 1
Q14186,TFDP1,Non-kinase,Transcription factor dp-1
P19532,TFE3,Non-kinase,Transcription factor binding to ighm enhancer 3
P19484,TFEB,Non-kinase,Transcription factor eb
Q92734,TFG,Non-kinase,Trafficking from er to golgi regulator
P10646,TFPI,Non-kinase,Tissue factor pathway inhibitor
P0C1Z6,TFPT,Non-kinase,Tcf3 fusion partner
P02786,TFRC,Non-kinase,Transferrin receptor
O43294,TGFB1I1,Non-kinase,Transforming growth factor beta 1 induced transcript 1
P36897,TGFBR1,TKL,Transforming growth factor beta receptor 1
P37173,TGFBR2,TKL,Transforming growth factor beta receptor 2
Q03167,TGFBR3,Non-kinase,Transforming growth factor beta receptor 3
P21980,TGM2,Non-kinase,Transglutaminase 2
Q96RS0,TGS1,Non-kinase,Trimethylguanosine synthase 1
P07101,TH,Non-kinase,Tyrosine hydroxylase
Q8N1K5,THEMIS,Non-kinase,Thymocyte selection associated
Q13769,THOC5,Non-kinase,Tho complex subunit 5
P52888,THOP1,Non-kinase,Thimet oligopeptidase 1
Q9Y2W1,THRAP3,Non-kinase,Thyroid hormone receptor associated protein 3
P10828,THRB,Non-kinase,Thyroid hormone receptor beta
Q13009,TIAM1,Non-kinase,Tiam rac1 associated gef 1
Q8IUC6,TICAM1,Non-kinase,Tir domain containing adaptor molecule 1
Q86XR7,TICAM2,Non-kinase,Tir domain containing adaptor molecule 2
Q7Z2Z1,TICRR,Non-kinase,Topbp1 interacting checkpoint and replication regulator
Q96CG3,TIFA,Non-kinase,Traf interacting protein with forkhead associated domain
Q495A1,TIGIT,Non-kinase,T cell immunoreceptor with ig and itim domains
P16035,TIMP2,Non-kinase,Timp metallopeptidase inhibitor 2
Q9BSI4,TINF2,Non-kinase,Terf1 interacting nuclear factor 2
P58753,TIRAP,Non-kinase,Tir domain containing adaptor protein
P04183,TK1,Non-kinase,Thymidine kinase 1
P29401,TKT,Non-kinase,Transketolase
Q04724,TLE1,Non-kinase,"Tle family member 1, transcriptional corepressor"
Q9UKI8,TLK1,Other,Tousled like kinase 1
Q86UE8,TLK2,Other,Tousled like kinase 2
Q9Y490,TLN1,Non-kinase,Talin 1
O15455,TLR3,Non-kinase,Toll like receptor 3
O00206,TLR4,Non-kinase,Toll like receptor 4
O60602,TLR5,Non-kinase,Toll like receptor 5
Q96BF3,TMIGD2,Non-kinase,Transmembrane and immunoglobulin domain containing 2
P28289,TMOD1,Non-kinase,Tropomodulin 1
P42166,TMPO,Non-kinase,Thymopoietin
P01375,TNF,Non-kinase,Tumor necrosis factor
Q13829,TNFAIP1,Non-kinase,Tnf alpha induced protein 1
P21580,TNFAIP3,Non-kinase,Tnf alpha induced protein 3
Q6P589,TNFAIP8L2,Non-kinase,Tnf alpha induced protein 8 like 2
P19438,TNFRSF1A,Non-kinase,Tnf receptor superfamily member 1a
Q9UKE5,TNIK,STE,Traf2 and nck interacting kinase
Q13470,TNK1,TK,Tyrosine kinase non receptor 1
Q07912,TNK2,TK,Tyrosine kinase non receptor 2
O95271,TNKS,Non-kinase,Tankyrase
Q9C0C2,TNKS1BP1,Non-kinase,Tankyrase 1 binding protein 1
P19429,TNNI3,Non-kinase,"Troponin i3, cardiac type"
P45379,TNNT2,Non-kinase,"Troponin t2, cardiac type"
O15417,TNRC18,Non-kinase,Trinucleotide repeat containing 18
Q68CZ2,TNS3,Non-kinase,Tensin 3
P50616,TOB1,Non-kinase,"Transducer of erbb2, 1"
Q14106,TOB2,Non-kinase,"Transducer of erbb2, 2"
O75674,TOM1L1,Non-kinase,Target of myb1 like 1 membrane trafficking protein
P11387,TOP1,Non-kinase,Dna topoisomerase i
P11388,TOP2A,Non-kinase,Dna topoisomerase ii alpha
Q02880,TOP2B,Non-kinase,Dna topoisomerase ii beta
Q92547,TOPBP1,Non-kinase,Dna topoisomerase ii binding protein 1
Q9NS56,TOPORS,Non-kinase,"Top1 binding arginine/serine rich protein, e3 ubiquitin ligase"
Q5JTV8,TOR1AIP1,Non-kinase,Torsin 1a interacting protein 1
P04637,TP53,Non-kinase,Tumor protein p53
Q12888,TP53BP1,Non-kinase,Tumor protein p53 binding protein 1
Q13625,TP53BP2,Non-kinase,Tumor protein p53 binding protein 2
Q96S44,TP53RK,Other,Tp53 regulating kinase
Q9H3D4,TP63,Non-kinase,Tumor protein p63
O15350,TP73,Non-kinase,Tumor protein p73
P55327,TPD52,Non-kinase,Tumor protein d52
P17752,TPH1,Non-kinase,Tryptophan hydroxylase 1
Q8IWU9,TPH2,Non-kinase,Tryptophan hydroxylase 2
P60174,TPI1,Non-kinase,Triosephosphate isomerase 1
P09493,TPM1,Non-kinase,Tropomyosin 1
P07951,TPM2,Non-kinase,Tropomyosin 2
O14773,TPP1,Non-kinase,Tripeptidyl peptidase 1
O94811,TPPP,Non-kinase,Tubulin polymerization promoting protein
P12270,TPR,Non-kinase,"Translocated promoter region, nuclear basket protein"
P13693,TPT1,Non-kinase,"Tumor protein, translationally-controlled 1"
Q9ULW0,TPX2,Non-kinase,Tpx2 microtubule nucleation factor
Q12933,TRAF2,Non-kinase,Tnf receptor associated factor 2
Q13114,TRAF3,Non-kinase,Tnf receptor associated factor 3
Q9BUZ4,TRAF4,Non-kinase,Tnf receptor associated factor 4
Q9Y4K3,TRAF6,Non-kinase,Tnf receptor associated factor 6
Q12931,TRAP1,Non-kinase,Tnf receptor associated protein 1
Q92519,TRIB2,CAMK,Tribbles pseudokinase 2
Q9C026,TRIM9,Non-kinase,Tripartite motif containing 9
O15164,TRIM24,Atypical,Tripartite motif containing 24
Q14258,TRIM25,Non-kinase,Tripartite motif containing 25
Q13263,TRIM28,Atypical,Tripartite motif containing 28
Q14134,TRIM29,Non-kinase,Tripartite motif containing 29
Q13049,TRIM32,Non-kinase,Tripartite motif containing 32
Q9UPN9,TRIM33,Atypical,Tripartite motif containing 33
Q9BRZ2,TRIM56,Non-kinase,Tripartite motif containing 56
Q8IWR1,TRIM59,Non-kinase,Tripartite motif containing 59
Q2Q1W2,TRIM71,Non-kinase,Tripartite motif containing 71
O75962,TRIO,CAMK,Trio rho guanine nucleotide exchange factor
Q9H2D6,TRIOBP,Non-kinase,Trio and f-actin binding protein
Q15654,TRIP6,Non-kinase,Thyroid hormone receptor interactor 6
Q15642,TRIP10,Non-kinase,Thyroid hormone receptor interactor 10
Q14669,TRIP12,Non-kinase,Thyroid hormone receptor interactor 12
Q15645,TRIP13,Non-kinase,Thyroid hormone receptor interactor 13
O75762,TRPA1,Non-kinase,Transient receptor potential cation channel subfamily a member 1
P48995,TRPC1,Non-kinase,Transient receptor potential cation channel subfamily c member 1
Q13507,TRPC3,Non-kinase,Transient receptor potential cation channel subfamily c member 3
Q9UBN4,TRPC4,Non-kinase,Transient receptor potential cation channel subfamily c member 4
Q9UL62,TRPC5,Non-kinase,Transient receptor potential cation channel subfamily c member 5
Q9Y210,TRPC6,Non-kinase,Transient receptor potential cation channel subfamily c member 6
O94759,TRPM2,Non-kinase,Transient receptor potential cation channel subfamily m member 2
Q8TD43,TRPM4,Non-kinase,Transient receptor potential cation channel subfamily m member 4
Q9BX84,TRPM6,Atypical,Transient receptor potential cation channel subfamily m member 6
Q96QT4,TRPM7,Atypical,Transient receptor potential cation channel subfamily m member 7
Q7Z2W7,TRPM8,Non-kinase,Transient receptor potential cation channel subfamily m member 8
Q8NER1,TRPV1,Non-kinase,Transient receptor potential cation channel subfamily v member 1
Q8NET8,TRPV3,Non-kinase,Transient receptor potential cation channel subfamily v member 3
Q9HBA0,TRPV4,Non-kinase,Transient receptor potential cation channel subfamily v member 4
